year,round,date,quali_pos,points,statusId,position,dob,driver_nationality,constructor,constructor_nationality,GP_name,country,driver
2009,1,2009-03-29,1,10.0,1,1,1980-01-19,British,Brawn,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2009,1,2009-03-29,2,8.0,1,2,1972-05-23,Brazilian,Brawn,British,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2008,1,2008-03-16,12,0.0,4,13,1980-01-19,British,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,Jenson Button
2007,1,2007-03-18,14,0.0,11,14,1980-01-19,British,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,Jenson Button
2006,3,2006-04-02,1,0.0,11,1,1980-01-19,British,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,Jenson Button
2008,1,2008-03-16,10,0.0,2,11,1972-05-23,Brazilian,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2007,1,2007-03-18,16,0.0,11,17,1972-05-23,Brazilian,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2006,3,2006-04-02,16,2.0,1,17,1972-05-23,Brazilian,Honda,Japanese,Albert Park Grand Prix Circuit,Australia,Rubens Barrichello
2005,1,2005-03-06,8,0.0,11,8,1980-01-19,British,BAR,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2004,1,2004-03-07,4,3.0,1,4,1980-01-19,British,BAR,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2003,1,2003-03-09,8,0.0,1,8,1980-01-19,British,BAR,British,Albert Park Grand Prix Circuit,Australia,Jenson Button
2005,1,2005-03-06,20,0.0,12,19,1977-01-28,Japanese,BAR,British,Albert Park Grand Prix Circuit,Australia,Takuma Sato
2004,1,2004-03-07,7,0.0,11,7,1977-01-28,Japanese,BAR,British,Albert Park Grand Prix Circuit,Australia,Takuma Sato
2003,1,2003-03-09,6,0.0,1,6,1971-04-09,Canadian,BAR,British,Albert Park Grand Prix Circuit,Australia,Jacques Villeneuve
2000,1,2000-03-12,8,3.0,1,8,1971-04-09,Canadian,BAR,British,Albert Park Grand Prix Circuit,Australia,Jacques Villeneuve
1999,1,1999-03-07,11,0.0,65,11,1971-04-09,Canadian,BAR,British,Albert Park Grand Prix Circuit,Australia,Jacques Villeneuve
2000,1,2000-03-12,16,1.0,1,16,1976-03-23,Brazilian,BAR,British,Albert Park Grand Prix Circuit,Australia,Ricardo Zonta
1999,1,1999-03-07,19,0.0,6,19,1976-03-23,Brazilian,BAR,British,Albert Park Grand Prix Circuit,Australia,Ricardo Zonta
2004,1,2004-03-07,9,2.0,11,9,1974-07-13,Italian,Renault,French,Albert Park Grand Prix Circuit,Australia,Jarno Trulli
2003,1,2003-03-09,12,4.0,1,12,1974-07-13,Italian,Renault,French,Albert Park Grand Prix Circuit,Australia,Jarno Trulli
2009,1,2009-03-29,10,4.0,1,12,1981-07-29,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2008,1,2008-03-16,11,5.0,1,12,1981-07-29,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
2006,3,2006-04-02,3,10.0,1,3,1981-07-29,Spanish,Renault,French,Albert Park Grand Prix Circuit,Australia,Fernando Alonso
