circuit,country,odds favourite,predicted_winner,actual_winner,odds predicted,winnings
bahrain,Bahrain,Max Verstappen,Max Verstappen,Max Verstappen,-600,
jeddah,Saudi Arabia,Max Verstappen,Max Verstappen,Max Verstappen,-800,
albert_park,Australia,Max Verstappen,Max Verstappen,Carlos Sainz,-700,
suzuka,Japan,Max Verstappen,Max Verstappen,Max Verstappen,-700,
shanghai,China,Max Verstappen,Max Verstappen,Max Verstappen,-1200,
miami,USA,Max Verstappen,Max Verstappen,Lando Norris,-700,
imola,Italy,Max Verstappen,Lando Norris,Max Verstappen,300,
monaco,Monaco,Charles Leclerc,Charles Leclerc,Charles Leclerc,-250,
villeneuve,Canada,Max Verstappen,Max Verstappen,Max Verstappen,-135,
catalunya,Spain,Max Verstappen,Max Verstappen,Max Verstappen,-145,
red_bull_ring,Austria,Max Verstappen,Max Verstappen,George Russell,-500,
silverstone,UK,Lando Norris,Lewis Hamilton,Lewis Hamilton,330,
hungaroring,Hungary,Lando Norris,Oscar Piastri,Oscar Piastri,600,
spa,Belgium,Lando Norris,Lewis Hamilton,Lewis Hamilton,850,
zandvoort,Netherlands,Lando Norris,Max Verstappen,Lando Norris,180,
monza,Italy,Charles Leclerc,Lando Norris,Charles Leclerc,-225,
baku,Azerbaijan,Lando Norris,Oscar Piastri,Oscar Piastri,280,
marina_bay,Singapore,Max Verstappen,Lando Norris,Lando Norris,-155,
americas,USA,Max Verstappen,Lando Norris,Charles Leclerc,225,
rodriguez,Mexico,Lando Norris,Carlos Sainz,Carlos Sainz,150,
interlagos,Brazil,Lando Norris,George Russell,Max Verstappen,500,
vegas,United States,George Russell,George Russell,George Russell,350,
losail,Qatar,Lando Norris,George Russell,Max Verstappen,300,
yas_marina,UAE,Lando Norris,Oscar Piastri,Lando Norris,235,
